CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Churn,Has_Revolving_Balance,Engagement_Score,Value_Score,Engagement_Band,Value_Band,Tenure_Band,Age_Band,Balance_Band,Product_Band,Retention_Priority,Cross_Sell_Opportunity,churn_probability,risk_band,best_model
768805383,Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,39,5,1,3,12691.0,777,11914.0,1.335,1144,42,1.625,0.061,0,1,0.3441,0.3787,Low,High,37-48,41-50,10k-20k,5-6,"High Value, At Risk",Low Priority,0.002727495936665037,Low,Gradient Boosting
818770008,Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,44,6,1,2,8256.0,864,7392.0,1.541,1291,33,3.714,0.105,0,1,0.3409,0.3572,Low,High,37-48,41-50,5k-10k,5-6,"High Value, At Risk",Low Priority,0.00150731350009322,Low,Gradient Boosting
713982108,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,4,1,0,3418.0,0,3418.0,2.594,1887,20,2.333,0.0,0,0,0.3528,0.2395,Low,Low,25-36,51-60,2.5k-5k,3-4,Lower Priority,Low Priority,0.014314255937537282,Low,Gradient Boosting
769911858,Existing Customer,40,F,4,High School,Unknown,Less than $40K,Blue,34,3,4,1,3313.0,2517,796.0,1.405,1171,20,2.333,0.76,0,1,0.2225,0.1979,Low,Low,25-36,31-40,2.5k-5k,3-4,Lower Priority,Low Priority,0.00796668183543906,Low,Gradient Boosting
709106358,Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,4716.0,0,4716.0,2.175,816,28,2.5,0.0,0,0,0.3526,0.2372,Low,Low,0-24,31-40,2.5k-5k,5-6,Lower Priority,Low Priority,0.5233234095048286,Medium,Gradient Boosting
713061558,Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1,2,4010.0,1247,2763.0,1.376,1088,24,0.846,0.311,0,1,0.3144,0.2092,Low,Low,25-36,41-50,2.5k-5k,3-4,Lower Priority,Low Priority,0.03810947630547551,Low,Gradient Boosting
810347208,Existing Customer,51,M,4,Unknown,Married,$120K +,Gold,46,6,1,3,34516.0,2264,32252.0,1.975,1330,31,0.722,0.066,0,1,0.3199,0.7037,Low,High,37-48,51-60,20k+,5-6,"High Value, At Risk",Low Priority,0.002002705027986457,Low,Gradient Boosting
818906208,Existing Customer,32,M,0,High School,Unknown,$60K - $80K,Silver,27,2,2,2,29081.0,1396,27685.0,2.204,1538,36,0.714,0.048,0,1,0.3198,0.5023,Low,High,25-36,31-40,20k+,1-2,"High Value, At Risk",High Potential,0.02578410993001512,Low,Gradient Boosting
710930508,Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,2,0,22352.0,2517,19835.0,3.355,1350,24,1.182,0.113,0,1,0.3193,0.5026,Low,High,25-36,31-40,20k+,5-6,"High Value, At Risk",Low Priority,0.004607871984840143,Low,Gradient Boosting
719661558,Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,36,6,3,3,11656.0,1677,9979.0,1.524,1441,32,0.882,0.144,0,1,0.2579,0.3896,Low,High,25-36,41-50,10k-20k,5-6,"High Value, At Risk",Low Priority,0.002564766622227093,Low,Gradient Boosting
