feature,importance
Total_Trans_Ct,0.09466974178085286
Total_Trans_Amt,0.09036422014199785
Total_Revolving_Bal,0.01174548907882238
Cross_Sell_Opportunity,0.008873694207027504
Total_Amt_Chng_Q4_Q1,0.006933839822728683
Total_Ct_Chng_Q4_Q1,0.004208203319314418
Customer_Age,0.0027191244969021477
Engagement_Score,0.0025393207615429293
Total_Relationship_Count,0.0023595170261836882
Months_Inactive_12_mon,0.001373309817754209
Contacts_Count_12_mon,0.0011710758377424745
Product_Band,0.001003934337267598
Avg_Open_To_Buy,0.0006457739791072781
Months_on_book,0.0006179170623614505
Marital_Status,0.0003107674218784329
Value_Score,0.00022140822140819249
Age_Band,0.00020657531768639715
Gender,0.00018269796047574172
Credit_Limit,0.00011721611721611236
Dependent_count,0.00010853344186674274
Income_Category,1.7727128838163074e-05
Balance_Band,1.628001627995701e-05
Card_Category,7.235562791096939e-06
Tenure_Band,0.0
Education_Level,-7.235562791363392e-07
Engagement_Band,-4.341337674729218e-06
Avg_Utilization_Ratio,-5.064893953821148e-06
Has_Revolving_Balance,-6.512006512005009e-06
Retention_Priority,-6.873784651562076e-06
Value_Band,-1.591823814048876e-05
